User_ID,Typing_Speed_WPM,Typing_Accuracy_Percent,Daily_Coding_Hours,Problems_Solved_Per_Day,Coding_Efficiency_Score
1,108,90,1.6,11,7.24
2,82,95,3.0,7,5.76
3,43,90,4.7,17,6.49
4,82,91,2.3,7,5.68
5,55,80,5.2,21,7.45
6,120,81,7.9,15,8.22
7,116,95,7.5,15,8.38
8,65,81,3.6,19,7.37
9,37,97,4.8,6,4.25
10,46,96,3.8,2,3.7
11,72,97,6.1,8,5.7
12,38,83,2.3,1,3.0
13,65,95,6.7,4,4.65
14,77,82,1.8,17,7.35
15,42,84,2.7,8,4.54
16,32,95,2.2,6,4.06
17,73,89,7.1,12,6.37
18,107,91,5.7,22,9.43
19,88,99,6.0,12,7.02
20,91,90,2.0,19,8.33
21,65,95,1.8,15,6.85
22,71,88,1.4,10,5.89
23,93,82,1.4,1,4.63
24,36,81,2.3,14,5.5
25,89,80,5.5,9,6.07
26,37,92,5.1,9,4.75
27,60,90,4.9,6,4.8
28,70,92,7.8,18,7.54
29,72,86,7.8,16,7.08
30,90,95,6.6,21,8.8
31,75,89,5.5,1,4.23
32,39,97,6.0,4,3.91
33,48,99,6.1,4,4.22
34,63,85,7.3,7,4.99
35,39,98,2.1,4,3.93
36,119,100,3.6,17,8.97
37,61,94,2.4,17,7.11
38,34,90,2.2,10,4.82
39,107,95,4.5,20,9.11
40,92,97,4.4,13,7.3
41,72,88,3.3,7,5.32
42,97,83,7.2,9,6.37
43,34,86,1.7,16,5.94
44,85,85,2.6,14,7.05
45,30,94,6.6,6,3.98
46,89,84,6.5,14,7.15
47,71,86,3.9,9,5.65
48,105,96,1.8,13,7.67
49,87,90,3.7,7,5.81
50,56,86,2.4,15,6.4
51,58,99,3.5,22,8.12
52,103,98,1.3,12,7.45
53,33,82,6.5,5,3.63
54,41,94,5.8,10,5.11
55,77,92,1.2,10,6.15
56,53,86,4.6,12,5.71
57,107,86,4.2,16,8.13
58,57,80,6.6,9,5.11
59,86,92,1.1,25,9.42
60,68,96,7.4,20,7.96
61,57,92,5.7,15,6.55
62,113,80,1.3,22,9.39
63,94,96,7.7,2,5.14
64,73,81,6.8,3,4.41
65,84,88,4.8,8,5.88
66,82,90,2.9,1,4.46
67,64,100,5.8,6,5.12
68,90,97,2.4,24,9.44
69,52,81,3.5,24,7.98
70,33,81,7.1,14,5.41
71,43,99,7.4,9,5.07
72,53,100,6.6,10,5.59
73,113,82,6.6,25,10.03
74,69,92,2.6,9,5.71
75,75,81,1.1,11,6.07
76,96,81,5.6,11,6.7
77,106,88,1.7,25,9.94
78,107,93,2.5,6,6.27
79,120,90,5.7,2,5.8
80,84,82,6.1,17,7.56
81,77,94,3.5,7,5.59
82,72,87,5.6,5,4.9
83,44,90,6.8,17,6.52
84,93,94,1.1,5,5.67
85,105,91,4.5,4,5.77
86,67,86,6.2,10,5.73
87,107,93,7.2,20,9.07
88,80,88,7.0,24,8.96
89,42,86,7.8,7,4.38
90,62,90,1.8,21,7.86
91,118,82,3.4,22,9.58
92,67,93,5.7,16,7.07
93,43,87,6.6,2,3.43
94,78,94,5.6,19,8.02
95,114,84,3.1,15,8.1
96,79,82,1.7,8,5.61
97,85,99,1.4,24,9.33
98,68,84,5.2,20,7.72
99,56,84,1.1,22,7.76
100,77,83,3.3,2,4.37
101,69,95,5.4,23,8.57
102,114,95,1.5,22,9.72
103,83,92,5.8,3,4.93
104,75,95,7.7,18,7.75
105,59,84,7.7,10,5.45
106,91,89,6.1,3,5.11
107,93,92,7.2,17,8.03
108,89,81,2.7,16,7.49
109,89,96,5.6,17,7.99
110,100,95,2.7,19,8.7
111,61,99,1.6,14,6.61
112,85,92,7.1,8,5.99
113,68,83,7.7,25,8.7
114,80,80,1.6,22,8.4
115,30,88,6.6,22,7.06
116,115,82,3.2,15,8.09
117,98,89,4.5,16,7.92
118,34,83,6.5,21,6.88
119,53,96,3.5,10,5.51
120,99,96,4.5,7,6.29
121,112,96,4.3,18,8.88
122,77,87,6.4,11,6.25
123,106,90,7.3,13,7.58
124,33,95,2.3,11,5.09
125,89,84,2.5,25,9.35
126,105,82,3.0,21,8.99
127,45,100,3.0,14,6.15
128,49,100,3.7,8,5.07
129,114,100,4.0,21,9.62
130,42,82,2.8,7,4.3
131,94,97,6.4,5,5.76
132,61,99,2.1,7,5.21
133,83,82,2.6,15,7.13
134,112,80,4.4,12,7.36
135,80,92,5.6,24,9.04
136,97,100,6.8,10,6.91
137,108,90,2.5,3,5.64
138,60,80,1.9,16,6.6
139,59,91,6.5,16,6.79
140,47,80,5.7,25,8.01
141,61,95,1.0,9,5.53
142,58,82,2.4,13,5.98
143,79,82,6.9,7,5.41
144,72,96,6.5,6,5.28
145,71,91,7.3,1,4.15
146,83,82,4.5,6,5.33
147,49,84,4.0,1,3.35
148,120,86,5.9,22,9.72
149,115,85,7.5,7,6.55
150,93,84,1.3,25,9.47
151,56,89,4.5,15,6.46
152,55,81,7.3,20,7.27
153,69,94,6.3,22,8.35
154,79,100,2.9,23,8.97
155,35,86,7.5,25,7.77
156,87,88,3.4,14,7.17
157,68,100,1.2,18,7.64
158,105,96,1.5,6,6.27
159,41,81,7.4,1,3.05
160,112,97,3.8,15,8.3
161,57,92,1.4,21,7.75
162,105,100,5.4,3,5.75
163,111,92,6.3,13,7.77
164,41,93,5.2,18,6.69
165,108,93,4.4,18,8.7
166,74,87,6.7,5,4.96
167,106,92,8.0,8,6.62
168,81,87,1.7,13,6.77
169,38,80,7.7,25,7.74
170,109,82,4.7,8,6.51
171,118,80,2.3,18,8.74
172,75,82,4.5,14,6.69
173,99,96,7.8,4,5.69
174,67,82,3.3,21,7.85
175,39,89,7.5,9,4.75
176,90,93,3.6,10,6.56
177,36,96,1.7,12,5.4
178,39,97,4.7,21,7.31
179,80,84,5.8,20,8.08
180,41,84,6.8,13,5.51
181,118,85,2.2,18,8.84
182,36,91,8.0,5,3.9
183,39,98,4.3,22,7.53
184,105,85,6.1,13,7.45
185,111,88,2.0,24,9.89
186,77,94,3.2,15,7.19
187,40,81,5.8,11,5.02
188,69,92,6.3,7,5.31
189,100,92,2.6,11,7.04
190,70,98,7.5,21,8.26
191,120,84,6.8,19,9.08
192,96,95,1.0,24,9.58
193,37,99,4.8,14,5.89
194,116,98,6.2,24,10.24
195,68,81,4.2,11,5.86
196,88,99,3.1,20,8.62
197,90,100,2.9,9,6.5
198,48,90,5.9,17,6.64
199,31,92,1.6,19,6.57
200,83,98,5.6,14,7.25
201,53,98,2.2,1,3.75
202,35,89,2.3,21,7.03
203,57,94,1.8,21,7.79
204,52,96,4.5,18,7.08
205,64,88,4.8,7,5.08
206,105,95,4.7,8,6.65
207,82,100,1.5,5,5.46
208,40,84,3.2,10,4.88
209,114,84,5.9,13,7.7
210,67,80,6.7,22,8.01
211,59,86,3.5,17,6.89
212,99,85,5.6,20,8.67
213,31,96,5.5,16,6.05
214,105,83,3.4,9,6.61
215,45,80,7.9,9,4.75
216,80,91,7.2,13,6.82
217,93,92,6.9,2,5.03
218,112,93,6.5,4,6.02
219,119,83,7.8,12,7.63
220,110,89,7.9,21,9.28
221,67,80,2.4,1,3.81
222,40,81,4.9,7,4.22
223,117,96,7.8,3,6.03
224,48,88,5.6,17,6.6
225,41,90,5.3,14,5.83
226,118,99,4.4,11,7.72
227,38,80,7.4,3,3.34
228,64,81,7.4,1,3.74
229,76,82,6.4,25,8.92
230,65,100,3.9,1,4.15
231,116,97,7.8,11,7.62
232,87,91,3.6,15,7.43
233,90,86,4.0,25,9.42
234,83,97,1.1,7,5.83
235,118,91,8.0,16,8.56
236,39,81,6.2,23,7.39
237,96,90,7.8,8,6.28
238,94,100,7.8,12,7.22
239,31,84,2.9,1,2.81
240,86,95,3.6,15,7.48
241,72,83,5.2,2,4.22
242,44,80,4.7,16,6.12
243,39,94,6.4,17,6.45
244,91,99,1.7,13,7.31
245,114,96,3.2,8,6.94
246,109,89,6.7,25,10.05
247,49,98,1.4,24,8.23
